
 Loss: 0.014 | Acc: 99.503% (49672/49920)
==> Testing..
 39 40 Loss: 0.350 | Acc: 93.520% (9352/10000)  Saving..

 Loss: 0.013 | Acc: 99.585% (49713/49920)
 Loss: 0.015 | Acc: 99.517% (49679/49920)
 Loss: 0.012 | Acc: 99.553% (49697/49920)
 Loss: 0.012 | Acc: 99.639% (49740/49920)
 Loss: 0.010 | Acc: 99.679% (49760/49920)
 Loss: 0.012 | Acc: 99.631% (49736/49920)
 Loss: 0.013 | Acc: 99.571% (49706/49920)
 Loss: 0.009 | Acc: 99.698% (49769/49920)
 Loss: 0.009 | Acc: 99.694% (49767/49920)
 Loss: 0.009 | Acc: 99.700% (49770/49920)
==> Testing..
 39 40 Loss: 0.355 | Acc: 93.860% (9386/10000)  Saving..

 Loss: 0.010 | Acc: 99.665% (49753/49920)
 Loss: 0.008 | Acc: 99.728% (49784/49920)
 Loss: 0.007 | Acc: 99.766% (49803/49920)
 Loss: 0.007 | Acc: 99.776% (49808/49920)
 Loss: 0.006 | Acc: 99.808% (49824/49920)
 Loss: 0.007 | Acc: 99.748% (49794/49920)
 Loss: 0.006 | Acc: 99.804% (49822/49920)
 Loss: 0.007 | Acc: 99.788% (49814/49920)
 Loss: 0.007 | Acc: 99.786% (49813/49920)
 Loss: 0.007 | Acc: 99.782% (49811/49920)
==> Testing..
 39 40 Loss: 0.354 | Acc: 94.060% (9406/10000)  Saving..

 Loss: 0.006 | Acc: 99.826% (49833/49920)
 Loss: 0.005 | Acc: 99.858% (49849/49920)
 Loss: 0.005 | Acc: 99.816% (49828/49920)
 Loss: 0.005 | Acc: 99.854% (49847/49920)
 Loss: 0.005 | Acc: 99.870% (49855/49920)
 Loss: 0.005 | Acc: 99.838% (49839/49920)
 Loss: 0.005 | Acc: 99.820% (49830/49920)
 Loss: 0.005 | Acc: 99.836% (49838/49920)
 Loss: 0.004 | Acc: 99.856% (49848/49920)
 Loss: 0.003 | Acc: 99.888% (49864/49920)
==> Testing..
 39 40 Loss: 0.364 | Acc: 94.000% (9400/10000)
 Loss: 0.004 | Acc: 99.864% (49852/49920)
 Loss: 0.004 | Acc: 99.846% (49843/49920)
 Loss: 0.004 | Acc: 99.868% (49854/49920)
 Loss: 0.004 | Acc: 99.892% (49866/49920)
 Loss: 0.004 | Acc: 99.870% (49855/49920)
 Loss: 0.003 | Acc: 99.876% (49858/49920)
 Loss: 0.003 | Acc: 99.894% (49867/49920)
 Loss: 0.003 | Acc: 99.902% (49871/49920)
 Loss: 0.004 | Acc: 99.884% (49862/49920)
 Loss: 0.003 | Acc: 99.888% (49864/49920)
==> Testing..
 39 40 Loss: 0.350 | Acc: 94.020% (9402/10000)
 Loss: 0.003 | Acc: 99.904% (49872/49920)
 Loss: 0.003 | Acc: 99.920% (49880/49920)
 Loss: 0.003 | Acc: 99.902% (49871/49920)
 Loss: 0.003 | Acc: 99.898% (49869/49920)
 Loss: 0.003 | Acc: 99.906% (49873/49920)
 Loss: 0.002 | Acc: 99.934% (49887/49920)
 Loss: 0.004 | Acc: 99.870% (49855/49920)
 Loss: 0.003 | Acc: 99.906% (49873/49920)
 Loss: 0.002 | Acc: 99.922% (49881/49920)
 Loss: 0.003 | Acc: 99.924% (49882/49920)
